,timestamp,date_time,time_diff,date,time,month
215,2025-03-15 04:05,2025-03-15 04:05:00,0 days 00:00:00,2025-03-15,04:05:00,3
213,2025-03-15 04:05,2025-03-15 04:05:00,0 days 00:00:00,2025-03-15,04:05:00,3
212,2025-03-15 04:05,2025-03-15 04:05:00,0 days 00:00:00,2025-03-15,04:05:00,3
211,2025-03-15 04:05,2025-03-15 04:05:00,0 days 00:00:00,2025-03-15,04:05:00,3
214,2025-03-15 04:05,2025-03-15 04:05:00,0 days 00:00:00,2025-03-15,04:05:00,3
224,2025-03-15 04:06,2025-03-15 04:06:00,0 days 00:01:00,2025-03-15,04:06:00,3
226,2025-03-15 04:06,2025-03-15 04:06:00,0 days 00:00:00,2025-03-15,04:06:00,3
223,2025-03-15 04:06,2025-03-15 04:06:00,0 days 00:00:00,2025-03-15,04:06:00,3
225,2025-03-15 04:06,2025-03-15 04:06:00,0 days 00:00:00,2025-03-15,04:06:00,3
221,2025-03-15 04:06,2025-03-15 04:06:00,0 days 00:00:00,2025-03-15,04:06:00,3
219,2025-03-15 04:06,2025-03-15 04:06:00,0 days 00:00:00,2025-03-15,04:06:00,3
222,2025-03-15 04:06,2025-03-15 04:06:00,0 days 00:00:00,2025-03-15,04:06:00,3
220,2025-03-15 04:06,2025-03-15 04:06:00,0 days 00:00:00,2025-03-15,04:06:00,3
227,2025-03-15 04:07,2025-03-15 04:07:00,0 days 00:01:00,2025-03-15,04:07:00,3
228,2025-03-15 04:07,2025-03-15 04:07:00,0 days 00:00:00,2025-03-15,04:07:00,3
229,2025-03-15 04:08,2025-03-15 04:08:00,0 days 00:01:00,2025-03-15,04:08:00,3
232,2025-03-15 04:09,2025-03-15 04:09:00,0 days 00:01:00,2025-03-15,04:09:00,3
233,2025-03-15 04:09,2025-03-15 04:09:00,0 days 00:00:00,2025-03-15,04:09:00,3
230,2025-03-15 04:09,2025-03-15 04:09:00,0 days 00:00:00,2025-03-15,04:09:00,3
231,2025-03-15 04:09,2025-03-15 04:09:00,0 days 00:00:00,2025-03-15,04:09:00,3
234,2025-03-15 04:10,2025-03-15 04:10:00,0 days 00:01:00,2025-03-15,04:10:00,3
235,2025-03-15 04:11,2025-03-15 04:11:00,0 days 00:01:00,2025-03-15,04:11:00,3
236,2025-03-15 04:15,2025-03-15 04:15:00,0 days 00:04:00,2025-03-15,04:15:00,3
237,2025-03-15 04:15,2025-03-15 04:15:00,0 days 00:00:00,2025-03-15,04:15:00,3
238,2025-03-15 04:15,2025-03-15 04:15:00,0 days 00:00:00,2025-03-15,04:15:00,3
239,2025-03-15 04:19,2025-03-15 04:19:00,0 days 00:04:00,2025-03-15,04:19:00,3
240,2025-03-15 04:24,2025-03-15 04:24:00,0 days 00:05:00,2025-03-15,04:24:00,3
241,2025-03-15 04:27,2025-03-15 04:27:00,0 days 00:03:00,2025-03-15,04:27:00,3
242,2025-03-15 04:32,2025-03-15 04:32:00,0 days 00:05:00,2025-03-15,04:32:00,3
243,2025-03-15 14:35,2025-03-15 14:35:00,0 days 10:03:00,2025-03-15,14:35:00,3
247,2025-03-15 14:38,2025-03-15 14:38:00,0 days 00:03:00,2025-03-15,14:38:00,3
246,2025-03-15 14:38,2025-03-15 14:38:00,0 days 00:00:00,2025-03-15,14:38:00,3
244,2025-03-15 14:38,2025-03-15 14:38:00,0 days 00:00:00,2025-03-15,14:38:00,3
245,2025-03-15 14:38,2025-03-15 14:38:00,0 days 00:00:00,2025-03-15,14:38:00,3
248,2025-03-15 14:40,2025-03-15 14:40:00,0 days 00:02:00,2025-03-15,14:40:00,3
249,2025-03-15 14:45,2025-03-15 14:45:00,0 days 00:05:00,2025-03-15,14:45:00,3
250,2025-03-15 14:46,2025-03-15 14:46:00,0 days 00:01:00,2025-03-15,14:46:00,3
251,2025-03-15 14:46,2025-03-15 14:46:00,0 days 00:00:00,2025-03-15,14:46:00,3
252,2025-03-15 14:48,2025-03-15 14:48:00,0 days 00:02:00,2025-03-15,14:48:00,3
253,2025-03-15 14:48,2025-03-15 14:48:00,0 days 00:00:00,2025-03-15,14:48:00,3
254,2025-03-15 14:50,2025-03-15 14:50:00,0 days 00:02:00,2025-03-15,14:50:00,3
255,2025-03-15 14:50,2025-03-15 14:50:00,0 days 00:00:00,2025-03-15,14:50:00,3
256,2025-03-15 14:50,2025-03-15 14:50:00,0 days 00:00:00,2025-03-15,14:50:00,3
257,2025-03-15 14:53,2025-03-15 14:53:00,0 days 00:03:00,2025-03-15,14:53:00,3
258,2025-03-15 14:56,2025-03-15 14:56:00,0 days 00:03:00,2025-03-15,14:56:00,3
259,2025-03-15 14:57,2025-03-15 14:57:00,0 days 00:01:00,2025-03-15,14:57:00,3
260,2025-03-15 15:00,2025-03-15 15:00:00,0 days 00:03:00,2025-03-15,15:00:00,3
261,2025-03-15 15:03,2025-03-15 15:03:00,0 days 00:03:00,2025-03-15,15:03:00,3
262,2025-03-15 15:05,2025-03-15 15:05:00,0 days 00:02:00,2025-03-15,15:05:00,3
263,2025-03-15 15:07,2025-03-15 15:07:00,0 days 00:02:00,2025-03-15,15:07:00,3
264,2025-03-15 15:10,2025-03-15 15:10:00,0 days 00:03:00,2025-03-15,15:10:00,3
265,2025-03-15 15:12,2025-03-15 15:12:00,0 days 00:02:00,2025-03-15,15:12:00,3
266,2025-03-15 15:15,2025-03-15 15:15:00,0 days 00:03:00,2025-03-15,15:15:00,3
267,2025-03-15 15:20,2025-03-15 15:20:00,0 days 00:05:00,2025-03-15,15:20:00,3
268,2025-03-15 15:23,2025-03-15 15:23:00,0 days 00:03:00,2025-03-15,15:23:00,3
269,2025-03-15 15:26,2025-03-15 15:26:00,0 days 00:03:00,2025-03-15,15:26:00,3
270,2025-03-15 15:28,2025-03-15 15:28:00,0 days 00:02:00,2025-03-15,15:28:00,3
271,2025-03-15 15:30,2025-03-15 15:30:00,0 days 00:02:00,2025-03-15,15:30:00,3
